phi,Spinx,Spiny
(-2.9733948370082004+0j),(0.30834949380533094+6.446219914519255e-15j),(0.9512731414635841-2.0895035936173827e-15j)
(-2.96630902736714+0j),(0.30100481884515423+5.886773591935918e-14j),(0.953622618771176-1.8581220534664056e-14j)
(-2.9592426182467215+0j),(0.29377122191278937+1.4343850606657769e-13j),(0.9558757603244612-4.40832448583279e-14j)
(-2.952194103344137+0j),(0.28664921603496896-3.9198981576358066e-14j),(0.9580356083917434+1.1728538312991028e-14j)
(-2.9451619986922184+0j),(0.2796391925197769+1.4248064918247508e-14j),(0.9601051619520058-4.1498759996326995e-15j)
(-2.9381448418350224+0j),(0.27274142457798106+9.06759175501316e-14j),(0.9620873740566256-2.570564752685638e-14j)
(-2.9311411910417915+0j),(0.26595607107023445+3.533700930669566e-14j),(0.9639851493985186-9.749208444180966e-15j)
(-2.924149624556165+0j),(0.25928318034801473+3.4748984447140545e-14j),(0.9658013420929891-9.328861753073457e-15j)
(-2.917168739877666+0j),(0.2527226941757989-3.1182372175682304e-14j),(0.9675387536675344+8.144886266476923e-15j)
(-2.910197153072647+0j),(0.24627445170345624-1.7264225566440286e-14j),(0.96920013126194+4.386852156039154e-15j)
(-2.9032334981119905+0j),(0.23993819347799908-3.326913191318333e-15j),(0.9707881660334114+8.222736626927242e-16j)
(-2.8962764262329848+0j),(0.23371356546540917-9.477332084897428e-14j),(0.9723054917655489+2.2780711323959012e-14j)
(-2.889324605322896+0j),(0.22760012307951544-9.853508216219005e-15j),(0.9737546836725303+2.3031054128728166e-15j)
(-2.882376719321836+0j),(0.221597335191538-4.6369721088125755e-14j),(0.9751382573953341+1.0537384364500165e-14j)
(-2.8754314676426067+0j),(0.21570458810381715+6.706661066725195e-14j),(0.9764586681836374-1.481534866847841e-14j)
(-2.8684875646052586+0j),(0.20992118948890234+1.1993182636572137e-14j),(0.9777183102527867-2.5749984821046747e-15j)
(-2.8615437388841736+0j),(0.2042463722618769+5.977865371484372e-14j),(0.9789195163126858-1.2472499481822391e-14j)
(-2.8545987329654867+0j),(0.19867929839225007+5.689883077491109e-15j),(0.9800645572564919-1.153456646707425e-15j)
(-2.8476513026127366+0j),(0.19321906263241992+4.4566389102367665e-14j),(0.9811556420035757-8.776462732953222e-15j)
(-2.8407002163386244+0j),(0.18786469616319154+1.074957495915572e-14j),(0.9821949174860924-2.0560742044501935e-15j)
(-2.8337442548807927+0j),(0.18261517014404605+8.934052448931973e-15j),(0.9831844687713802-1.6593971526791012e-15j)
(-2.826782210679521+0j),(0.1774693991579137+1.3695549155191807e-14j),(0.9841263193119718-2.4697448203690123e-15j)
(-2.8198128873552535+0j),(0.1724262445545881-2.307990100730485e-14j),(0.9850224313125063+4.040091401856285e-15j)
(-2.8128350991838293+0j),(0.1674845176721636+3.2283479355648846e-14j),(0.9858747062077018-5.484452471104343e-15j)
(-2.8058476705672777+0j),(0.1626429829495995-4.21723461091213e-14j),(0.9866849852395932+6.951596782943716e-15j)
(-2.798849435498+0j),(0.15790036091028906+2.6802700041789575e-14j),(0.9874550501285617-4.2859226953346265e-15j)
(-2.791839237014105+0j),(0.15325533102388128+1.5488503742687403e-14j),(0.9881866238280907-2.4020723524417205e-15j)
(-2.7848159266436183+0j),(0.14870653443927462+7.0227058019208e-15j),(0.9888813713560695-1.056064228167361e-15j)
(-2.7777783638351923+0j),(0.14425257658904042-2.4818398410343023e-14j),(0.9895409006945711+3.617958504789843e-15j)
(-2.770725415372894+0j),(0.13989202965915615-3.397917016871962e-14j),(0.99016676375136+4.800620718703163e-15j)
(-2.7636559547725117+0j),(0.1356234349263143+3.484586246269721e-14j),(0.9907604573754383-4.76998806823603e-15j)
(-2.7565688616567363+0j),(0.1314453049635686+7.660552938084e-15j),(0.9913234244196162-1.0157570096011217e-15j)
(-2.7494630211064335+0j),(0.12735612570486052-2.7055951802088257e-14j),(0.9918570548448237+3.474030034812311e-15j)
(-2.7423373229850747+0j),(0.12335435838216503+1.2305554444571613e-13j),(0.9923626868580481-1.5296260058436317e-14j)
