Time,Spinz_On_BIS,Spinz_away_BIS
(0.64+0j),(0.6355336601261274-3.1335718976446594e-23j),(0.58578300365998-3.595211944783452e-18j)
(0.66+0j),(0.6182573773959953+6.821173003679715e-23j),(0.570750311667644+8.115172405092734e-17j)
(0.68+0j),(0.6008515700717916+0j),(0.5561312774596505-3.464128982962655e-17j)
(0.7000000000000001+0j),(0.5833267311490775+4.5827908779051384e-23j),(0.541960499805314-3.4025630270511716e-18j)
(0.72+0j),(0.5656926259642767-3.848815118063593e-23j),(0.5282713081067179+3.0092468961382914e-17j)
(0.74+0j),(0.5479583342125981+1.2571563125906862e-23j),(0.5150957594516204+2.6297847328363788e-17j)
(0.76+0j),(0.5301322901182309-1.2320072754278728e-23j),(0.5024646273090058+2.5867194598153763e-17j)
(0.78+0j),(0.5122223207907884-3.6224269306614734e-23j),(0.4904073818190053-6.364156131506735e-18j)
(0.8+0j),(0.494235682811193-5.917728102713832e-23j),(0.47895216171504357-7.519754491618445e-17j)
(0.8200000000000001+0j),(0.47617909709757655-5.801006475326697e-23j),(0.4681257380046639+4.938913438641051e-17j)
(0.84+0j),(0.4580587821075913+1.0236840273680924e-22j),(0.4579534696273059+0j)
(0.86+0j),(0.4398804854380406-1.1152058470131855e-23j),(0.4484592514027811+6.002311266854947e-18j)
(0.88+0j),(0.4216495138860905+0j),(0.43966545468359886+4.738911000546726e-17j)
(0.9+0j),(0.4033707620387049-1.7157786821229352e-22j),(0.43159286122757407+4.6796120944731537e-17j)
(0.92+0j),(0.3850487394585352-1.0517067067016483e-23j),(0.424260590914022+1.733955511310135e-17j)
(0.9400000000000001+0j),(0.3666875965353828-5.157711231166404e-23j),(0.4176860240366655+1.1429112643729601e-17j)
(0.96+0j),(0.34829114907269015+1.618964486641748e-22j),(0.41188471901824814+4.522826334554396e-17j)
(0.98+0j),(0.3298629016783842+5.955738370596321e-23j),(0.4068703265044646+5.596681209566234e-17j)
(1+0j),(0.31140607002890364+5.843027330222913e-23j),(0.402654500906631-1.2196571857408949e-16j)
(1.02+0j),(0.29292360207445134+1.1465788249240746e-22j),(0.39924681057158706-8.792109260728399e-17j)
(1.04+0j),(0.2744181982524944+7.500333920854582e-23j),(0.3966546478614446+1.0900163790676668e-17j)
(1.06+0j),(0.2558923307753605-1.2880021647780608e-22j),(0.39488314052247003-5.4088160880798126e-17j)
(1.08+0j),(0.23734826205647308+1.8056949936644758e-23j),(0.39393506580888366-8.593829984245455e-17j)
(1.1+0j),(0.2187880623384116-1.063278652908311e-22j),(0.39381076890076827-1.0673862654070741e-17j)
(1.12+0j),(0.20021362658455505+2.2610688631343154e-22j),(0.39450808721257696+3.18362320052724e-17j)
(1.1400000000000001+0j),(0.18162669069467802+0j),(0.3960222822268794+2.1113274893592652e-17j)
(1.16+0j),(0.16302884710345927-1.0053782911126885e-22j),(0.39834598050399+2.1014469866415832e-16j)
(1.18+0j),(0.14442155981952795+6.579086420782486e-23j),(0.4014691255092111+3.139064294574405e-17j)
(1.2+0j),(0.12580617896138946+4.843569992977764e-22j),(0.405378941863087+1.6680383071161046e-16j)
(1.22+0j),(0.10718395484535856+2.535776478895827e-22j),(0.4100599135542075+4.156784117925686e-17j)
(1.24+0j),(0.08855605167954023+2.178060614804239e-22j),(0.41549377755721495-1.4508685795847583e-16j)
(1.26+0j),(0.0699235609168623+3.665257623466313e-22j),(0.4216595341698387-4.135609433797017e-17j)
(1.28+0j),(0.051287514319300016+4.797233584100974e-22j),(0.42853347522192076+4.127440932778326e-17j)
(1.3+0j),(0.03264889678463967+3.531764049657111e-22j),(0.4360892311172397-2.0603369664328707e-17j)
(1.32+0j),(0.014008658986493557+0j),(0.444297837447121-6.172717990608035e-17j)
(1.34+0j),(-0.004632270122244652+1.134244325950612e-22j),(0.4531278216660172-1.0276722197326112e-16j)
(1.36+0j),(-0.023272970892687456-5.566256590660595e-23j),(0.46254531004700367+8.214271838194494e-17j)
(1.3800000000000001+0j),(-0.04191252060041791+0j),(0.47251415484396475+1.8469422531867415e-16j)
(1.4000000000000001+0j),(-0.0605499810536587-2.68050221997999e-22j),(0.4829960812825838+6.153087492513831e-17j)
(1.42+0j),(-0.07918438613966113+3.6823807468126426e-22j),(0.49395085369013514-1.2300574452498807e-16j)
(1.44+0j),(-0.09781472925962471+4.645272320724528e-22j),(0.5053364597612718+1.6394182209504996e-16j)
(1.46+0j),(-0.11643995060216968-4.050824192354503e-22j),(0.517109311650588+1.6387810070969717e-16j)
(1.48+0j),(-0.13505892420493448-9.933622585370168e-23j),(0.5292244622899948+1.0238118480002971e-16j)
(1.5+0j),(-0.15367044475327749-4.871175743571548e-23j),(0.5416358350571379+0j)
(1.52+0j),(-0.17227321406436097-4.7765436438212236e-23j),(0.554296464677118+1.0227155369473054e-16j)
(1.54+0j),(-0.19086582720406373-9.365672352797035e-23j),(0.5671587470300425-2.248331964189647e-16j)
(1.56+0j),(-0.20944675818321942+4.589975641861813e-22j),(0.5801746953670306+1.4294590937528244e-16j)
(1.58+0j),(-0.22801434517860195-8.995770902524577e-23j),(0.5932962003118188+2.4477628955502706e-16j)
