kx,ky,gamma0
-3.078760800517997,-3.141592653589793,-0.9592091683566395
-3.078760800517997,-3.078760800517997,-0.9573969191142278
-3.078760800517997,-3.015928947446201,-0.9518689775675814
-3.078760800517997,-2.9530970943744057,-0.9426968256426936
-3.078760800517997,-2.8902652413026098,-0.9299611302000669
-3.078760800517997,-2.827433388230814,-0.9137503488903684
-3.078760800517997,-2.764601535159018,-0.8941595705062627
-3.078760800517997,-2.701769682087222,-0.8712895783814255
-3.078760800517997,-2.6389378290154264,-0.8452461205781788
-3.078760800517997,-2.5761059759436304,-0.8161393684238565
-3.078760800517997,-2.5132741228718345,-0.7840835446548378
-3.078760800517997,-2.4504422698000385,-0.7491967033688771
-3.078760800517997,-2.3876104167282426,-0.7116006456579206
-3.078760800517997,-2.324778563656447,-0.6714209567971364
-3.078760800517997,-2.2619467105846507,-0.6287871528980998
-3.078760800517997,-2.199114857512855,-0.5838329267615845
-3.078760800517997,-2.1362830044410592,-0.536696484100655
-3.078760800517997,-2.0734511513692633,-0.48752096218445784
-3.078760800517997,-2.0106192982974678,-0.43645492312108203
-3.078760800517997,-1.9477874452256716,-0.3836529132931388
-3.078760800517997,-1.8849555921538759,-0.3292760787111014
-3.078760800517997,-1.82212373908208,-0.2734928230787877
-3.078760800517997,-1.759291886010284,-0.21647949100258268
-3.078760800517997,-1.6964600329384882,-0.15842105288879793
-3.078760800517997,-1.6336281798666923,-0.09951176061725533
-3.078760800517997,-1.5707963267948963,-0.039955734167938024
-3.078760800517997,-1.5079644737231006,0.020032570621837255
-3.078760800517997,-1.4451326206513047,0.0802280733525436
-3.078760800517997,-1.3823007675795087,0.14039502912269738
-3.078760800517997,-1.319468914507713,0.20028731404743064
-3.078760800517997,-1.256637061435917,0.2596491151382084
-3.078760800517997,-1.1938052083641213,0.31821609834252607
-3.078760800517997,-1.1309733552923253,0.3757171136484936
-3.078760800517997,-1.0681415022205294,0.4318764696789155
-3.078760800517997,-1.0053096491487334,0.4864167717911731
-3.078760800517997,-0.9424777960769379,0.539062269236798
-3.078760800517997,-0.879645943005142,0.5743540622854072
-3.078760800517997,-0.816814089933346,0.6131311139041877
-3.078760800517997,-0.7539822368615501,0.6570030481762956
-3.078760800517997,-0.6911503837897541,0.6984658028674786
-3.078760800517997,-0.6283185307179586,0.7483114725194098
-3.078760800517997,-0.5654866776461627,0.8008791150111781
-3.078760800517997,-0.5026548245743667,0.8334812431624968
