phi,Spinx,Spiny
(-2.4093871164306475+0j),(-0.46568728260720904+0j),(-0.8849493515551686+0j)
(-2.403560136552779+0j),(-0.46264134284162883+0j),(-0.8865455362775759+0j)
(-2.3977126888991935+0j),(-0.4595729476006443+0j),(-0.8881400260283597+0j)
(-2.39184462808505+0j),(-0.4564812466055282+0j),(-0.8897330338351293+0j)
(-2.38595580311056+0j),(-0.4533653678138682+0j),(-0.8913247686825471+0j)
(-2.3800460569963544+0j),(-0.4502244165422796+0j),(-0.8929154353852128+0j)
(-2.3741152263996343+0j),(-0.44705747454370987+0j),(-0.8945052344478485+0j)
(-2.368163141209904+0j),(-0.4438635990367067+0j),(-0.8960943619118368+0j)
(-2.3621896241230433+0j),(-0.4406418216838418+0j),(-0.8976830091870658+0j)
(-2.356194490192345+0j),(-0.43739114751626373+0j),(-0.8992713628679646+0j)
(-2.3501775463550483+0j),(-0.434110553801133+0j),(-0.900859604532512+0j)
(-2.3441385909327863+0j),(-0.43079898884844214+0j),(-0.9024479105229066+0j)
(-2.3380774131042252+0j),(-0.4274553707534605+0j),(-0.9040364517064685+0j)
(-2.3319937923480483+0j),(-0.4240785860707513+0j),(-0.9056253932152258+0j)
(-2.325887497854266+0j),(-0.4206674884153899+0j),(-0.9072148941625064+0j)
(-2.319758287901688+0j),(-0.41722089698667164+0j),(-0.9088051073347009+0j)
(-2.3136059091991763+0j),(-0.4137375950092144+0j),(-0.9103961788562116+0j)
(-2.307430096188135+0j),(-0.4102163280859588+0j),(-0.9119882478254164+0j)
(-2.3012305703034186+0j),(-0.4066558024571012+0j),(-0.9135814459192848+0j)
(-2.295007039189648+0j),(-0.40305468315852583+0j),(-0.9151758969640647+0j)
(-2.2887591958695985+0j),(-0.39941159207273247+0j),(-0.916771716469223+0j)
(-2.2824867178610577+0j),(-0.3957251058646828+0j),(-0.9183690111215566+0j)
(-2.2761892662382044+0j),(-0.39199375379432577+0j),(-0.9199678782361012+0j)
(-2.2698664846331793+0j),(-0.38821601539683387+0j),(-0.9215684051601408+0j)
(-2.263517998173126+0j),(-0.3843903180208027+0j),(-0.9231706686262655+0j)
(-2.2571434123475123+0j),(-0.3805150342137733+0j),(-0.9247747340500233+0j)
(-2.2507423118000256+0j),(-0.37658847894347247+0j),(-0.9263806547672733+0j)
(-2.244314259038792+0j),(-0.37260890664208834+0j),(-0.9279884712058591+0j)
(-2.2378587930580047+0j),(-0.36857450805970077+0j),(-0.9295982099856634+0j)
(-2.2313754278633717+0j),(-0.3644834069116629+0j),(-0.931209882940504+0j)
(-2.224863650892967+0j),(-0.360333656303248+0j),(-0.9328234860546409+0j)
(-2.2183229213242055+0j),(-0.3561232349132267+0j),(-0.9344389983059027+0j)
(-2.2117526682566515+0j),(-0.3518500429162061+0j),(-0.936056380406578+0j)
(-2.2051522887592347+0j),(-0.3475118976214811+0j),(-0.9376755734322599+0j)
(-2.198521145769196+0j),(-0.3431065288038607+0j),(-0.9392964973277423+0j)
(-2.1918585658286345+0j),(-0.33863157369931524+0j),(-0.940919049277846+0j)
(-2.1851638366429045+0j),(-0.33408457163537114+0j),(-0.9425431019296735+0j)
(-2.1784362044432717+0j),(-0.32946295826288396+0j),(-0.9441685014512343+0j)
(-2.1716748711341256+0j),(-0.32476405935207736+0j),(-0.9457950654096059+0j)
(-2.1648789912026656+0j),(-0.31998508411151894+0j),(-0.947422580449793+0j)
(-2.15804766836624+0j),(-0.31512311798388803+0j),(-0.9490507997531602+0j)
(-2.151179951929379+0j),(-0.31017511486692145+0j),(-0.9506794402517035+0j)
(-2.1442748328189847+0j),(-0.3051378887016831+0j),(-0.952308179571445+0j)
(-2.1373312392619983+0j),(-0.3000081043631456+0j),(-0.9539366526748159+0j)
(-2.130348032065082+0j),(-0.29478226777986605+0j),(-0.9555644481679714+0j)
(-2.1233239994503523+0j),(-0.28945671520010163+0j),(-0.957191104234451+0j)
(-2.1162578513947814+0j),(-0.2840276015107996+0j),(-0.9588161041513761+0j)
(-2.1091482134134156+0j),(-0.278490887503276+0j),(-0.9604388713383261+0j)
